Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",135.780000,-74.196000,90.000000,top
"C2","100n","C_0402_1005Metric",138.280000,-74.196000,90.000000,top
"C3","10n","C_0402_1005Metric",140.680000,-74.196000,90.000000,top
"C4","10u","C_0603_1608Metric",130.655000,-74.596000,0.000000,top
"C5","22u","C_0603_1608Metric",146.690000,-80.036000,0.000000,top
"FB1","100ohm @ 100m","L_0805_2012Metric",126.117500,-74.896000,0.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P1.27mm_Vertical",136.180000,-79.396000,90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex_47346-0001",119.905000,-80.608500,-90.000000,top
"Q1","SI2302","SOT-23",143.242500,-84.496000,0.000000,top
"R1","LED1","R_0805_2012Metric",147.292500,-83.196000,0.000000,top
"R2","LED2","R_0805_2012Metric",147.267500,-85.596000,0.000000,top
"R3","22","R_1206_3216Metric",138.392500,-86.096000,0.000000,top
"U1","STM32L011D4Px","TSSOP-14_4.4x5mm_P0.65mm",138.413500,-79.380000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",128.930000,-82.296000,0.000000,top
